Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
BC01_Pooled	0.00345523039454871	0	0.00727688702685298	0.156297150164526	0.132052019474248	0.0872040273410581	0.100476061450077	0.141320662467537	0	0.0951661051271274	0	0	0	0	0	0.0246053719856088	0	0.135315418936357	0	0.116831065632061	0	0	0.733	-0.0165282702882206	1.12694791274262
BC02_Pooled	0	0.0125486293823875	0.00928679126374237	0.0638019168159228	0	0	0.0367623856539686	0.0322215580876338	0	0	0	0.0275665770515597	0.0337060154852642	0	0	0	0	0.233617176274481	0	0.526427953535001	0.0240609964500385	0	0.254	0.0306033930255845	1.2059536517096
BC03_Pooled	0.102696062877067	0.00353762824336238	0	0.251371834572314	0	0.117190511178585	0.217205298342167	0.221642530498039	0	0	0	0	0.00498177886162819	0.00369984578774487	0.00454332202533891	0.0111665583489136	0.00385013002355653	0.0219564270866789	0	0.0167439870749009	0.0194140850797037	0	0.012	0.265445929956351	1.00023436167576
BC03LN_Pooled	0.370730921848807	0.0414332220317935	0.0768662196907508	0.0197146209031855	0	0	0.210250854321835	0.183670299457965	0	0.0123030657524617	0	0	0	0	0.00143887673408541	0.0296600577539883	0	0.0361886576068109	0	0	0.0123009244535851	0.00544227944473241	0.001	0.483883162452056	0.879714494225734
BC04_Pooled	0.0125408794409667	0.0108701037588223	0.000537750491707603	0.166518599404396	0	0	0.436968240666163	0.0198977111599013	0	0	0.0282942409247041	0	0.0237634558872595	0	0	0.0394081945898456	0.00144125486123106	0.163631625403437	0	0.084278398848423	0.0059932623810494	0.0058562821820934	0.032	0.163954093189241	1.02686654645235
BC05_Pooled	0	0	0.00128758592322325	0.0293397171784531	0	0.0338068825663098	0	0.0401460349104592	0	0	0	0.0772405619407033	0.0323121081975805	0	0	0	0.000502935827689059	0.0102969780160928	0	0.76395564881759	0.0111115466218989	0	0.627	-0.010566336581414	1.38081122588598
BC06_Pooled	0.0351718823674145	0.0398518356062635	0	0.102529718709636	0	0	0.0584322919171771	0.0429302981598625	0	0.0426974108709109	0	0	0.00047507051865692	0	0.173621578583191	0.301604331238426	0.0205795703969138	0.0486854078498468	0	0.0811346960497904	0.018177336485415	0.0341085712464949	0.1	0.0838782092372045	1.0659921108471
BC07LN_Pooled	0.104728711575302	0.254759922859428	0	0.135832405172896	0	0.00152767298645085	0.161318724806964	0.103172293306894	0	0.0238845726163155	0	0.0783753784714953	0.00802549700966704	0	0.000366687718116078	0.0511318172656329	0	0.0547589946689229	0	0.0082914849281761	0.0138258366137399	0	0.003	0.420234972230012	0.91091603746685
BC08_Pooled	0.0352080776319268	0.0179264675757892	0.0224723819860666	0.0498101267421043	0	0.0532001530570267	0.11525460768569	0.23800850221	0	0.0826350349495795	0	0.15038115741906	0.0120150036207158	0	0.0125572608231744	0.0572949949723786	0	0.0347266220658322	0	0.0874615483166491	0.0176458833214502	0.0134021776225571	0.078	0.0978240097612536	1.07793028006731
BC09_Pooled	0.0109088748859869	0	0.0101834224723729	0.176246658805978	0	0	0.232969240500758	0.0684339716145694	0	0.00707577861000503	0	0.174501366623396	0.0110654515007259	0	0.0432645107540484	0.151512168154711	0.0216341285444581	0.00632566159732503	0	0.0660057295442682	0.0110893026270686	0.00878373376432894	0.032	0.162573548136385	1.04476213730177
BC10_Pooled	0	0.0101935274937648	0	0.30941934148345	0	0.0649678384875719	0	0.0800518212580379	0	0	0	0.10356722244492	0.0267611851519025	0	0.000622347980276302	0.0282508859495302	0.00354965055069824	0.00193217635596551	0	0.351016447927712	0.0169314738173929	0.00273608109877828	0.471	0.00243362782925808	1.1734946459327
BC11_Pooled	0.00033484555124969	0.00366081250541974	0.00761514004737306	0.150381709293748	0	0	0.153442303655465	0.0718378816986344	0	0	0	0.146505786523436	0.0229178548640738	0	0.0295315463396138	0.0667047953541163	0.0630524697766609	0.0407376065829489	0	0.217771028419882	0.0112969308000113	0.0142092885873672	0.003	0.421064899257867	0.911423214639494
BC07_Tumor	0.0343059219505957	0	0.0412715608092548	0.113270193410742	0	0.13716019754654	0.0683887426125024	0.0589915811096817	0	0.0511921443388207	0	0.036209767114114	0.00167054033685596	0	0.139785269768296	0.199486700198789	0.0725062558333658	0.00861598166000884	0	0.0213243132218969	0	0.015820830088537	0.056	0.125872440916289	1.03796206235171
